KNUMBER|APPLICANT|CONTACT|STREET1|STREET2|CITY|STATE|COUNTRY_CODE|ZIP|POSTAL_CODE|DATERECEIVED|DECISIONDATE|DECISION|REVIEWADVISECOMM|PRODUCTCODE|STATEORSUMM|CLASSADVISECOMM|SSPINDICATOR|TYPE|THIRDPARTY|EXPEDITEDREVIEW|DEVICENAME
DEN190035|Helix OpCo, LLC|Gloria  Lee|96 Colbeck Street||Toronto||CA|M6S1 V2|M6S1 V2|08/02/2019|12/23/2020|DENG|MG|QNC||MG||Direct|N||Helix Laboratory Platform
K190217|Aidite (Qinhuangdao) Technology Co., Ltd.|Zhang  Wei|No.9 Dushan Road,Economic and Technological Development Zone||Qinhuangdao||CN|066000|066000|02/04/2019|12/17/2020|SESE|DE|EBG|Summary|DE||Traditional|N||Aidite PMMA
K191978|HuBDIC Co., Ltd.|Shin  Jae-Ho|301, 53 Jeonpa-ro, Mana-gu, Anyang-si, Gyongg-do||Anyang-si||KR|14084|14084|07/24/2019|12/18/2020|SESE|HO|FLL|Summary|HO||Traditional|N||Fever Garde
K192073|Helix OpCo, LLC|Gloria  Lee|96 Colbeck Street||Toronto||CA|M6S1 V2|M6S1 V2|08/02/2019|12/23/2020|SESE|IM|PTA|Summary|IM||Traditional|N||Helix Genetic Health Risk App for late-onset Alzheimer’s disease
K192308|Wu's Tech Co., Ltd.|Jen  Ke-Min|No. 225, Yuan Peir St.||Hsin-Chu City||TW|30093|30093|08/26/2019|12/21/2020|SESE|PM|INI|Summary|PM||Traditional|N||Wu's Electrical Scooter
K192709|AJU Pharm Co.,Ltd.|Kim Jung Gil|A-207, 697, Pangyo-ro||Seongnam-si||KR|13511|13511|09/27/2019|12/15/2020|SESE|OR|MBI|Summary|OR||Traditional|N||Fixone All Suture Anchor
K192770|AEA srl|Michele  Mengoni|via Fiume 16||Angeli di Rosora||IT|60030|60030|09/30/2019|12/17/2020|SESE|HO|FMF|Summary|HO||Traditional|N||S dispensing line
K192798|Zimmer, Inc.|Yoriko  Kobayashi|1800 W. Center Street||Warsaw|IN|US|46580|46580|09/30/2019|12/10/2020|SESE|OR|KRO|Summary|OR||Traditional|N||Zimmer Segmental System
K192913|Imicryl Dis Malzemeleri Sanayi Ve Ticaret A.S.|Muhammed Hulusi Sonmez|Fetih Mahallesi Mahir Sokak No:5/201||Konya||TR|42030|42030|10/15/2019|01/19/2021|SESE|DE|KLE|Summary|DE||Traditional|N||R&D Series Nova Compo-B Plus Bottle, R&D Series Nova Compo-B Plus Single Dose
K192916|Inova Diagnostics, Inc.|Carolina  Auza|9900 Old Grove Rd||San Diego|CA|US|92131|92131|10/15/2019|12/11/2020|SESE|IM|KTL|Summary|IM||Traditional|N||NOVA Lite DAPI dsDNA Crithidia luciliae Kit
K192933|Emerson & Co. Srl|Laura  Figliomeni|Piazza Della Vittoria 10||Genoa||IT|16121|16121|10/17/2019|01/13/2021|SESE|HO|KGO|Statement|SU||Special|N||Polyisoprene Powder Free, Black Colour Surgical Gloves
K192970|HIRONIC Co., Ltd|Duk Ho Kong|19F, 767, Sinsu-Ro, Suji-Gu||Yongin-Si||KR|16827|16827|10/23/2019|12/01/2020|SESE|SU|PKT|Summary|SU||Traditional|N||SLIMUS
K193008|Advihair S.R.L.|Angleo  D’Andrea|Via Benini 11||Zola Predosa||IT|40069|40069|10/28/2019|12/03/2020|SESE|SU|OAP|Summary|PM||Traditional|N||Tricoglam Home Use
K193079|mks paris|Cervilla  Stanislas|Zone Ecoparc 27 Rue Meziere||Fabregues||FR|34690|34690|11/05/2019|01/11/2021|SESE|PM|IRP|Summary|PM||Traditional|N||ICE COMPRESSION FIRST, DUO, & MOOVE Systems
K193159|Corscience gmbH & Co. KG|Stefan  Bolleininger|Hartmannstrasse 65||Erlangen||DE|91052|91052|11/15/2019|12/30/2020|SESE|NE|GWQ|Summary|NE||Traditional|N||NeuroAmp II, NeuroAmp II.5s
K193266|Medico USA Inc.|Peter  Son|3407 W 6th St Suite 507||Los Angeles|CA|US|90020|90020|11/26/2019|01/22/2021|SESE|SU|GEX|Summary|SU||Traditional|N||MIIN
K193271|Shanghai United Imaging Intelligence Co., Ltd.|Zhao  Xiaojing|No. 199, Huanke Road||Shanghai||CN|201210|201210|11/26/2019|01/15/2021|SESE|RA|QAS|Summary|RA||Traditional|N||uAI EasyTriage-Rib
K193273|Prominsemed Hangzhou Meditech Co., Ltd.|Liqing  Yang|No. 12, Longtan Road, Cangqian Street, Yuhang District||Hangzhou||CN|311121|311121|11/26/2019|01/05/2021|SESE|HO|FMF|Summary|HO||Traditional|N||Insulin Syringe
K193419|Bruker Daltonik GmbH|Peter  Trinder|Fahrenheitstrasse 4||Bremen||DE|28359|28359|12/09/2019|12/27/2020|SESE|MI|PEX|Statement|MI||Traditional|N||MBT Sepsityper
K193444|Dr. August Wolff GmbH & Co. KG Arzneimittel|Thomas  Flototto|Sudbrackstrasse 56||Bielefeld||DE|D-33611|D-33611|12/12/2019|12/04/2020|SESE|OB|NUC|Summary|OB||Traditional|N||Vagisan MoistCream Cremolum
K193497|AJU Pharm Co., Ltd.|Kim Joong Kil|A-207, 697, Pangyo-ro||Seongnam-si||KR|13511|13511|12/17/2019|01/05/2021|SESE|OR|MAI|Summary|OR||Traditional|N||Fixone Biocomposite Interference Screw
K193508|Oxoid Limited (Part of Thermo Fisher Scientific)|Philip  Brame|Wade Road||Basingstoke||GB|RG24 8PW|RG24 8PW|12/18/2019|12/04/2020|SESE|MI|JTN|Statement|MI||Traditional|N||Thermo Scientific Oxoid Eravacycline Disc (20ug) ERV20
K193608|Eberle GmbH & Co. KG|Udo  Schniebs|Glassbronnenstrasse 6||Wurmberg||DE|75449|75449|12/26/2019|01/15/2021|SESE|OR|HRX|Summary|OR||Traditional|N||EBERLE Shaver System C3 and Accessories
K193646|Anesthetic Gas Reclamation, Inc.|James  Berry|10606 Shady Trail #22||Dallas|TX|US|75220|75220|12/30/2019|12/04/2020|SESE|AN|CBN|Summary|AN||Special|N||Dynamic Gas Scavenging System 2 (DGSS - 2)
K193670|Quanta Dialysis Technologies Ltd.|Chris  Rule|Tything Road||Alcester||GB|B49 6EU|B49 6EU|12/31/2019|12/23/2020|SESE|GU|KDI|Summary|GU||Traditional|N||SC+ Haemodialysis Machine, SC+ Dialysate Cartridge, SC+ Blood Tube Set
DEN200016|Interscope, Inc|Jeffery  Ryan|100 Main Street, Suite 108||Whitinsville|MA|US|01588|01588|03/16/2020|12/23/2020|DENG|GU|QNE||GU||Direct|N||EndoRotor Device
K200021|Applied Medical Resources|Frans  VandenBroek|22872 Avenida Empresa||Rancho Santa Margarita|CA|US|92688|92688|01/06/2020|01/06/2021|SESE|GU|FER|Summary|GU||Traditional|N||Applied Medical Anoscope
DEN200035|Miach Orthopaedics, Inc.|Martha  Shadan|69 Milk Street|Suite 100|Westborough|MA|US|01581|01581|06/04/2020|12/16/2020|DENG|OR|QNI||OR||Direct|N||BEAR (Bridge-Enhanced ACL Repair) Implant
K200037|Piccolo Medical, Inc|Alexey  Salamini|101 Mississippi St||San Fransico|CA|US|94107|94107|01/08/2020|01/22/2021|SESE|CV|LJS|Summary|HO||Traditional|N||Piccolo Medical SmartPICC System
K200066|Spinal Simplicity LLC|Adam  Rogers|6600 College Blvd, Ste 220||Overland Park|KS|US|66211|66211|01/13/2020|12/10/2020|SESE|OR|PEK|Summary|OR||Traditional|N||Posterior Fusion Plate, HA Posterior Fusion Plate
K200159|HeTaiDa Technology Co., Ltd.|Tom  Chen|4F, BaiShiDa High-Tech Park, XiangDong Industrial Area|DaLingShan Town|DongGuan City||CN|523820|523820|01/22/2020|01/05/2021|SESE|HO|FLL|Summary|HO||Traditional|N||Non-contact Infrared Body Thermometer, model:HTD8823US
K200163|Ava AG|Blathnaid  Feldman|Gustrasse 73||Zurich||CH|8055|8055|01/22/2020|01/19/2021|SESE|OB|LHD|Summary|||Traditional|N||Ava Fertility Tracker
K200196|Biomet Orthopedics|Genoa  Atwood|56 East Bell Drive, PO Box 587||Warsaw|IN|US|46581|46581|01/27/2020|12/08/2020|SESE|OR|LZO|Summary|OR||Traditional|N||Taperloc® Complete Hip Stems
K200264|Chemence Medical, Inc.|Charnelle  Thomas|200 Technology Drive||Alpharetta|GA|US|30005|30005|02/03/2020|12/17/2020|SESE|SU|MPN|Summary|SU||Traditional|N||Exofin High Viscosity Topical Skin Adhesive
K200291|GLW Medical Inc|Arundhati  Radhakrishnan|300 Sylan Ave||Englewood Cliff|NJ|US|07632|07632|02/05/2020|12/16/2020|SESE|OR|HWC|Summary|OR||Traditional|N||CREED™ Cannulated Screws
K200298|Creo Medical Ltd.|Patrick  Burn|Creo House, Unit 2, Beaufort Park Way||Chepstow||GB|NP16 5UH|NP16 5UH|02/06/2020|01/05/2021|SESE|SU|NEY|Summary|SU||Traditional|N||ABI Instrument, Creo Electrosurgical System
K200321|Novaerus US Inc|Declan  Kiely|35 Melrose Place||Stamford|CT|US|06902|06902|02/10/2020|12/28/2020|SESE|HO|FRF|Summary|HO||Traditional|N||Novaerus NV1050
K200342|Olympus Medical Systems Corp.|Toshiyuki  Nakajima|2951 Ishikawa-cho||Hachioji-shi||JP|192-8507|192-8507|02/11/2020|12/17/2020|SESE|EN|EOQ|Summary|EN||Traditional|N||Single Use Grasping Forceps FG-214P, Single Use Grasping Forceps FG-220P, Single Use Grasping Forceps FG-226C, Single Use Grasping Forceps FG-232L, Single Use Grasping Forceps FG-804L
K200346|Avita Corporation|Amber  Dong|9F, No.78, Sec. 1, Kwang-Fu Road, San-Chung District||New Taipei City||TW|24158|24158|02/11/2020|12/17/2020|SESE|CV|DXN|Summary|CV||Traditional|N||Wrist Type Blood Pressure Monitor
K200374|Rapid-Medical Ltd.|Orit  Yaniv|Carmel Building, POB 337||Yokneam||IL|2069205|2069205|02/14/2020|12/14/2020|SESE|NE|MOF|Summary|CV||Traditional|N||Columbus Guidewire
K200376|Navbit Pty Ltd|David  Thomson|Suite 1A, 136 Willoughby Road||Crows Nest||AU|2065|2065|02/18/2020|12/10/2020|SESE|OR|OLO|Summary|NE||Traditional|N||Navbit Sprint System- Supine Registration, Navbit Sprint Kit - Lateral Registration
K200382|BTL|David  Chmel|362 Elm Street||Marlborough|MA|US|01752|01752|02/18/2020|01/06/2021|SESE|PM|NGX|Summary|PM||Traditional|N||BTL-703-2
K200404|Boston Scientific Corporation|Jennifer  Edouard|300 Boston Scientific Way||Marlborough|MA|US|01752|01752|02/19/2020|12/03/2020|SESE|GU|KNS|Summary|GU||Traditional|N||ORISE ProKnife
K200422|VisionQuest BioMedical, Inc.|Gilberto  Zamora|2501 Yale Blvd SE #301||Albuquerque|NM|US|87106|87106|02/20/2020|12/24/2020|SESE|OP|NFJ|Summary|RA||Traditional|N||Image Quality Analyzer (IQA)
K200426|Health Line International Corporation|Aaron G. Faulkner|5675 West 300 South||Salt Lake City|UT|US|84104|84104|02/21/2020|12/24/2020|SESK|GU|MPB|Summary|GU||Traditional|N||Acute Dual Lumen Hemodialysis Catheter
