Standard Designation Number/Date,Title of Standard,Specialty Task Group,Date of Recogntion,Standard Developing Organization,Recognition Number
61145 (1992-05),Calibration and usage of ionization chamber systems for assay of radionuclides,Radiology,07/12/1999,IEC," "12-51
C29-A2 (Replaces C29-A),Standardization of Sodium and Potassium Ion Selective Electrode Systems to the Flame Photometric Reference Method;  Approved Standard - Second Edition,InVitro Diagnostics,03/08/2004,CLSI," "7-86
C31-A2 (Replaces C31-A),Ionized Calcium Determinations:  Precollection Variables Specimen Choice Collection and Handling; Approved Guideline - Second Edition. ,InVitro Diagnostics,03/08/2004,CLSI," "7-87
C37-A,Preparation and Validation of Commutable Frozen Human Serum Pools as Secondary Reference Materials for Cholesterol Measurement Procedures; Approved Guideline,InVitro Diagnostics,03/08/2004,CLSI," "7-88
C39-A (Replaces C39-P),A Designated Comparison Method for the Measurement of Ionized Calcium in Serum; Approved Standard ,InVitro Diagnostics,03/08/2004,CLSI," "7-89
H30-A2,Procedure for the Determination of Fibrinogen in Plasma; Approved Guideline Second Edition,InVitro Diagnostics,10/04/2004,CLSI," "7-105
H7-A3,Procedure for Determining Packed Cell Volume by the Microhematocrit Method - Second Edition; Approved Standard - Third Edition.,InVitro Diagnostics,10/04/2004,CLSI," "7-104
13696:2002,Optics and optical instruments -- Test methods for radiation scattered by optical components,Radiology,10/04/2004,ISO," "12-116
61847: 1998,Ultrasonics - Surgical systems - Measurement and declaration of the basic output characteristics Ed. 1.0,Radiology,05/27/2005,IEC," "12-121
I/LA23-A (Replaces I/LA23-P),Assessing the Quality of Immunoassay Systems: Radioimmunoassays and Enzyme Fluorescence and Luminescence Immunoassays; Approved Guideline,InVitro Diagnostics,11/08/2005,CLSI," "7-113
60806 First edition 1984-01,Determination of the maximum symmetrical radiation field from a rotating anode X-Ray tube for medical diagnosis,Radiology,11/08/2005,IEC," "12-6
99:2005,Standard for Health Care Facilities Chapter 20 - Hyperbaric Facilities,Anesthesiology,03/31/2006,NFPA," "1-67
9236-1 Second edition 2004-02-01,Photography - Sensitometry of screen/film systems for medical radiography - Part 1: Determination of sensitometric curve shape speed and average gradient,Radiology,03/31/2006,ISO," "12-136
4090 Third eidition 2001-08-15,Photography - Medical radiographic cassette/screens/films and hard-copy imaging films - Dimensions and specifications,Radiology,03/31/2006,ISO," "12-137
5799 Second edition 1991-08-01,Photography -- Direct-exposing medical and dental radiographic film/process systems -- Determination of ISO speed and ISO average gradient,Radiology,03/31/2006,ISO," "12-138
N42.13-2004,Calibration and Usage of "Dose Calibrator" Ionization Chambers for the Assay of Radionuclides,Radiology,03/31/2006,IEEE," "12-141
10939 Second edition 2007-02-01,Ophthalmic instruments - Slit-lamp microscopes,Ophthalmic,12/19/2007,ISO," "10-35
10942 Second edition 2006-06-01,Ophthalmic instruments - Direct ophthalmoscopes,Ophthalmic,12/19/2007,ISO," "10-37
